name,url,stars,description,license,question_issues,help_wanted_issues,total_issues,community_score,created_at
mdazfar2/Ezyshop,https://github.com/mdazfar2/Ezyshop,157,"EzyShop is a user-friendly platform that connects you to local stores, offering a seamless shopping experience. Compare prices, access exclusive deals, and enjoy hassle-free deliveries for groceries, essentials, and organic products—all in one app.",Apache License 2.0,39,3,11,42,2024-09-26
cline/cline,https://github.com/cline/cline,30122,"Autonomous coding agent right in your IDE, capable of creating/editing files, executing commands, using the browser, and more with your permission every step of the way.",Apache License 2.0,0,24,400,24,2024-07-06
ghostty-org/website,https://github.com/ghostty-org/website,181,"Ghostty website. For the source to the Ghostty project, please see https://github.com/ghostty-org/ghostty",The MIT License,0,24,11,24,2024-07-26
hmpl-language/hmpl,https://github.com/hmpl-language/hmpl,147,🐜 Server-oriented customizable templating for JavaScript. Apply SSR without robots on any site!,The MIT License,0,24,6,24,2024-11-04
t0bst4r/home-assistant-matter-hub,https://github.com/t0bst4r/home-assistant-matter-hub,675,Publish your Home-Assistant Instance using Matter.,Apache License 2.0,18,0,74,18,2024-09-16
i-am-bee/beeai-framework,https://github.com/i-am-bee/beeai-framework,1805,Build production-ready AI agents in both Python and Typescript,Apache License 2.0,11,7,42,18,2024-08-23
voideditor/void,https://github.com/voideditor/void,10199,,Apache License 2.0,14,3,57,17,2024-09-11
lmnr-ai/lmnr,https://github.com/lmnr-ai/lmnr,1621,"Laminar - open-source all-in-one platform for engineering AI products. Crate data flywheel for you AI app. Traces, Evals, Datasets, Labels. YC S24.",Apache License 2.0,6,8,23,14,2024-08-29
oxdc/obsidian-vertical-tabs,https://github.com/oxdc/obsidian-vertical-tabs,229,"An Obsidian plugin that displays open tabs vertically, allowing users to group and organize tabs for a better navigation experience.",The MIT License,3,11,5,14,2024-07-20
opennextjs/opennextjs-cloudflare,https://github.com/opennextjs/opennextjs-cloudflare,599,Open Next.js adapter for Cloudflare,The MIT License,3,9,51,12,2024-09-12
obsidianmd/obsidian-clipper,https://github.com/obsidianmd/obsidian-clipper,1565,Highlight and capture the web in your favorite browser. The official Web Clipper extension for Obsidian.,The MIT License,0,11,97,11,2024-08-29
LauZzL/ltzj-nem,https://github.com/LauZzL/ltzj-nem,114,LTZJ-NEM Build 3。,The MIT License,10,0,9,10,2024-09-06
a-ghorbani/pocketpal-ai,https://github.com/a-ghorbani/pocketpal-ai,2447,An app that brings language models directly to your phone.,The MIT License,8,1,49,9,2024-08-25
Thavarshan/comet,https://github.com/Thavarshan/comet,149,"☄️ A cross-platform desktop app powered by FFmpeg for easy, beautiful media conversion.",The MIT License,1,8,0,9,2024-08-10
sourcebot-dev/sourcebot,https://github.com/sourcebot-dev/sourcebot,1677,"Blazingly fast code search 🏎️  Deployed as a single Docker image 📦 Search million+ lines of code in your GitHub, GitLab, Gitea, and Gerrit repositories 🪄 MIT licensed ✅",The MIT License,6,0,48,6,2024-08-23
techblitzdev/TechBlitz,https://github.com/techblitzdev/TechBlitz,323,"The open-source, mobile-friendly software education platform providing personalized coding challenges to everyone.",Apache License 2.0,6,0,39,6,2024-09-10
astral-sh/setup-uv,https://github.com/astral-sh/setup-uv,308,Set up your GitHub Actions workflow with a specific version of https://docs.astral.sh/uv/,The MIT License,0,6,22,6,2024-08-23
vault-developer/event-loop-explorer,https://github.com/vault-developer/event-loop-explorer,355,Event Loop Explorer: visualise javascript code execution in a browser environment,The MIT License,0,6,0,6,2024-08-04
anza-xyz/solana-web3.js,https://github.com/anza-xyz/solana-web3.js,193,Solana JavaScript SDK,The MIT License,4,1,45,5,2024-12-13
bytedance/UI-TARS-desktop,https://github.com/bytedance/UI-TARS-desktop,2737,A GUI Agent application based on UI-TARS(Vision-Lanuage Model) that allows you to control your computer using natural language.,Apache License 2.0,5,0,39,5,2025-01-19
Viren070/AIOStreams,https://github.com/Viren070/AIOStreams,155,"Combine all your streams into one addon and display them with consistent formatting, sorting, and filtering",The MIT License,3,2,23,5,2024-12-22
dostonnabotov/quicksnip,https://github.com/dostonnabotov/quicksnip,349,"Find code snippets in seconds, across multiple languages.",The MIT License,1,4,20,5,2024-10-27
rag-web-ui/rag-web-ui,https://github.com/rag-web-ui/rag-web-ui,1909,RAG Web UI is an intelligent dialogue system based on RAG (Retrieval-Augmented Generation) technology.,Apache License 2.0,2,3,19,5,2025-01-14
AmazonAppDev/react-native-multi-tv-app-sample,https://github.com/AmazonAppDev/react-native-multi-tv-app-sample,147,"📺🚀 React Native TV app sample for Android TV, Fire TV, tvOS, and web. Features customizable drawer navigation 🗂️, content grid 🖼️, hero header 🦸‍♂️, and video player 🎥. Built with Expo. Perfect starter for cross-platform TV app development! 🌟",MIT No Attribution,0,5,14,5,2024-07-17
SuperchupuDev/tinyglobby,https://github.com/SuperchupuDev/tinyglobby,279,A fast and minimal alternative to globby and fast-glob,The MIT License,2,3,12,5,2024-07-22
AstroX11/Xstro,https://github.com/AstroX11/Xstro,138,"Simple, Open source WhatsApp bot.",The MIT License,0,5,0,5,2024-11-02
yamadashy/repomix,https://github.com/yamadashy/repomix,9701,"📦 Repomix (formerly Repopack) is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more.",The MIT License,4,0,54,4,2024-07-13
opentiny/tiny-editor,https://github.com/opentiny/tiny-editor,232,"TinyEditor is a rich text editor based on Quill 2.0, which extends rich modules and formats on the basis of Quill. It is powerful and out-of-the-box. TinyEditor 是一个基于 Quill 2.0 的富文本编辑器，在 Quill 基础上扩展了丰富的模块和格式，功能强大、开箱即用。",The MIT License,3,1,27,4,2024-08-12
codexu/note-gen,https://github.com/codexu/note-gen,748,一款专注于记录和写作的跨端 AI 笔记,The MIT License,4,0,17,4,2024-08-06
gunnartorfis/sonner-native,https://github.com/gunnartorfis/sonner-native,589,An opinionated toast component for React Native. A port of @emilkowalski's sonner.,The MIT License,4,0,7,4,2024-09-03
cameronking4/openai-realtime-api-nextjs,https://github.com/cameronking4/openai-realtime-api-nextjs,249,"Leverage the OpenAI Realtime API (12-17-2024) with this Next.js 15 starter template featuring shadcn/ui components, tool-calling & localization. Use starter to build Voice AI apps with WebRTC.",The MIT License,3,1,3,4,2024-12-19
elizaOS/eliza,https://github.com/elizaOS/eliza,14550,Autonomous agents for everyone,The MIT License,2,1,375,3,2024-07-09
NeurProjects/neur-app,https://github.com/NeurProjects/neur-app,447,The Intelligent Copilot for Solana,The MIT License,0,3,43,3,2024-12-22
fabrix-framework/fabrix,https://github.com/fabrix-framework/fabrix,128,,The MIT License,0,3,21,3,2024-08-16
BluDood/GlanceThing,https://github.com/BluDood/GlanceThing,248,Your CarThing as a glanceable action pad!,The MIT License,3,0,18,3,2024-10-23
ibelick/motion-primitives,https://github.com/ibelick/motion-primitives,3860,"UI kit to make beautiful, animated interfaces, faster. Customizable. Open Source.",The MIT License,0,3,13,3,2024-07-03
mazzzystar/tinymind,https://github.com/mazzzystar/tinymind,713,Tinymind - Write and sync your blog & thoughts with GitHub,The MIT License,0,3,13,3,2024-09-15
ferrucc-io/emoji-picker,https://github.com/ferrucc-io/emoji-picker,262,React Emoji picker component styled with Tailwind,The MIT License,0,3,8,3,2025-01-25
rphlmr/react-router-hono-server,https://github.com/rphlmr/react-router-hono-server,249,Remix with Hono in less than 10 seconds,The MIT License,3,0,8,3,2024-08-03
gtokman/corner-smoothing,https://github.com/gtokman/corner-smoothing,571, Apple-like smooth corners for Tailwind CSS.,The MIT License,0,3,5,3,2024-11-05
czue/bluesky-comments,https://github.com/czue/bluesky-comments,168,Add a comments thread to any page using bluesky.,The MIT License,3,0,4,3,2024-11-25
ieedan/jsrepo,https://github.com/ieedan/jsrepo,307,♻️ The best way to reuse your code.,The MIT License,1,2,1,3,2024-09-07
obot-platform/obot,https://github.com/obot-platform/obot,112,Open source AI Agent Platform,Apache License 2.0,1,1,295,2,2024-09-05
sveltejs/cli,https://github.com/sveltejs/cli,314,The Svelte CLI,The MIT License,1,1,60,2,2024-08-15
Azure-Samples/aoai-realtime-audio-sdk,https://github.com/Azure-Samples/aoai-realtime-audio-sdk,769,Azure OpenAI code resources for using gpt-4o-realtime capabilities.,The MIT License,2,0,45,2,2024-10-01
modelcontextprotocol/typescript-sdk,https://github.com/modelcontextprotocol/typescript-sdk,1230,The official Typescript SDK for Model Context Protocol servers and clients,The MIT License,1,1,29,2,2024-09-24
FrancescoXX/rustcrab,https://github.com/FrancescoXX/rustcrab,429,An Open Source project with everything you need to learn about Rust.,The MIT License,2,0,24,2,2024-07-10
kubewall/kubewall,https://github.com/kubewall/kubewall,881,A single binary kubernetes dashboard to manage your multiple clusters.,Apache License 2.0,2,0,8,2,2024-09-10
WayneKeenan/ClintonCAT,https://github.com/WayneKeenan/ClintonCAT,368,Browser Extension for automatically searching Rossmann's Consumer Action Taskforce (CAT) articles for the current page being visited. ,The MIT License,0,2,8,2,2025-01-27
anAcc22/another_graph_editor,https://github.com/anAcc22/another_graph_editor,121,A graph editor,The MIT License,1,1,3,2,2024-08-09
frost-beta/sisi,https://github.com/frost-beta/sisi,544,Semantic Image Search CLI tool.,The MIT License,2,0,2,2,2024-09-14
Groupguanfang/arkTS,https://github.com/Groupguanfang/arkTS,163,个人使用的VSCode鸿蒙ArkTS插件✨✍️支持各种补全/跳转😁 VSCode HarmonyOS ArkTS plugin for personal use ✨ supports source code navigation and completion 😁,The MIT License,0,2,2,2,2025-02-02
cyberagiinc/DevDocs,https://github.com/cyberagiinc/DevDocs,144,Your Documentation Discovery Engine,Apache License 2.0,2,0,2,2,2025-01-15
getomni-ai/zerox,https://github.com/getomni-ai/zerox,9680,OCR & Document Extraction using vision models,The MIT License,0,1,53,1,2024-07-21
anultravioletaurora/Jellify,https://github.com/anultravioletaurora/Jellify,190,A free and open source music player for Jellyfin powered by React Native,The MIT License,1,0,52,1,2024-08-09
Comfy-Org/litegraph.js,https://github.com/Comfy-Org/litegraph.js,120,"A graph node engine and editor written in Javascript similar to PD or UDK Blueprints, comes with its own editor in HTML5 Canvas2D. The engine can run client side or server side using Node. It allows to export graphs as JSONs to be included in applications independently.",The MIT License,1,0,46,1,2024-07-05
elizaOS/agent-twitter-client,https://github.com/elizaOS/agent-twitter-client,1386,A Twitter client for agents-- no API key necessary,The MIT License,0,1,33,1,2024-07-12
modelcontextprotocol/specification,https://github.com/modelcontextprotocol/specification,406,The specification of the Model Context Protocol,The MIT License,1,0,29,1,2024-09-24
google-gemini/multimodal-live-api-web-console,https://github.com/google-gemini/multimodal-live-api-web-console,1794,A react-based starter app for using the Multimodal Live API over websockets with Gemini,Apache License 2.0,1,0,24,1,2024-12-09
code100x/tiplink,https://github.com/code100x/tiplink,182,,The MIT License,0,1,21,1,2024-07-30
event-driven-io/Pongo,https://github.com/event-driven-io/Pongo,1252,Pongo - Mongo but on Postgres and with strong consistency benefits,The MIT License,1,0,20,1,2024-07-05
FellouAI/eko,https://github.com/FellouAI/eko,2565,Eko (Eko Keeps Operating) - Build Production-ready Agentic Workflow with Natural Language - eko.fellou.ai,The MIT License,0,1,18,1,2024-11-23
modelcontextprotocol/inspector,https://github.com/modelcontextprotocol/inspector,344,Visual testing tool for MCP servers,The MIT License,1,0,18,1,2024-10-03
clairefro/obsidian-plugin-chronos,https://github.com/clairefro/obsidian-plugin-chronos,129,Render interactive timelines in your Obsidian notes from simple Markdown.,The MIT License,0,1,17,1,2024-10-29
dlants/magenta.nvim,https://github.com/dlants/magenta.nvim,164,A tool-use-focused LLM plugin for neovim.,The MIT License,0,1,16,1,2024-12-02
rhinobase/hono-openapi,https://github.com/rhinobase/hono-openapi,427,A plugin for Hono to generate OpenAPI Swagger documentation,The MIT License,1,0,15,1,2024-10-11
barvian/number-flow,https://github.com/barvian/number-flow,5598,"An animated number component for React, Vue, and Svelte.",The MIT License,0,1,13,1,2024-07-15
metz-sh/simulacrum,https://github.com/metz-sh/simulacrum,420,Code-playground to visualise complex engineering flows.,Apache License 2.0,0,1,10,1,2024-08-07
filipsobol/sonda,https://github.com/filipsobol/sonda,405,Universal visualizer and analyzer for JavaScript and CSS. Compatible with most bundlers and frameworks,The MIT License,0,1,9,1,2024-08-10
fecommunity/reactpress,https://github.com/fecommunity/reactpress,373,🔥 ReactPress is a free blog and CMS system developed using Next.js.（ReactPress是一个基于Next.js的博客&CMS系统） Live demo：https://blog.gaoredu.com,The MIT License,0,1,8,1,2024-09-08
unnoq/orpc,https://github.com/unnoq/orpc,327,Typesafe API's Made Simple 🪄,The MIT License,1,0,8,1,2024-09-27
authsmith/payload-auth-plugin,https://github.com/authsmith/payload-auth-plugin,144,Authentication plugin for Payload CMS,The MIT License,0,1,7,1,2024-07-11
aptakube/kubespec.dev,https://github.com/aptakube/kubespec.dev,347,Kubernetes Spec Explorer,The MIT License,0,1,6,1,2024-10-06
ropali/dockyard,https://github.com/ropali/dockyard,266,A fast & beautiful Docker GUI client,The MIT License,0,1,6,1,2024-07-11
rairprotocol/rair-sdk,https://github.com/rairprotocol/rair-sdk,1669,Simple developer SDK for RAIRprotocol,Apache License 2.0,0,1,5,1,2024-09-27
irsyadadl/justd,https://github.com/irsyadadl/justd,1097,"Justd is a chill set of React components, built on top of React Aria Components and Tailwind CSS. Easy to customize and just copy & paste into your React projects.",The MIT License,0,1,5,1,2024-07-05
mbarinov/repogpt,https://github.com/mbarinov/repogpt,248,"RepoGPT: AI-powered GitHub assistant to chat, manage, and explore your repos effortlessly.",The MIT License,0,1,5,1,2024-10-08
stackblitz-labs/use-stick-to-bottom,https://github.com/stackblitz-labs/use-stick-to-bottom,195,"A lightweight React Hook intended mainly for AI chat applications, for smoothly sticking to bottom of messages",The MIT License,0,1,3,1,2024-09-07
hamster1963/nezha-dash,https://github.com/hamster1963/nezha-dash,1266,A simple dashboard for nezha.,Apache License 2.0,0,1,1,1,2024-07-26
99percentpeople/weblink,https://github.com/99percentpeople/weblink,456,"A browser-based P2P chat and file transfer app with integrated screen sharing, powered by WebRTC.",The MIT License,0,1,1,1,2024-08-16
Logging-Stuff/RetroUI,https://github.com/Logging-Stuff/RetroUI,269,A retro-styled UI library for modern web applications.,The MIT License,0,1,0,1,2024-08-31
stackblitz/bolt.new,https://github.com/stackblitz/bolt.new,12922,"Prompt, run, edit, and deploy full-stack web applications",The MIT License,0,0,4395,0,2024-09-24
ArweaveOasis/Arweave-Academy,https://github.com/ArweaveOasis/Arweave-Academy,712,"Your one-stop journey to mastering Arweave AO development, organized by ArweaveOasis.",The MIT License,0,0,2255,0,2024-12-20
xynehq/xyne,https://github.com/xynehq/xyne,438,AI-first Search & Answer Engine for work. Open-source alternative to Glean.,Apache License 2.0,0,0,94,0,2024-09-02
anthropics/anthropic-quickstarts,https://github.com/anthropics/anthropic-quickstarts,7664,A collection of projects designed to help developers quickly get started with building deployable applications using the Anthropic API,The MIT License,0,0,93,0,2024-08-29
aidenybai/react-scan,https://github.com/aidenybai/react-scan,15370,Scan for React performance issues and eliminate slow renders in your app,The MIT License,0,0,80,0,2024-09-02
raidendotai/cofounder,https://github.com/raidendotai/cofounder,6164,"ai-generated apps , full stack + generative UI",The MIT License,0,0,69,0,2024-09-19
t3dotgg/quickpic,https://github.com/t3dotgg/quickpic,1117,Turn SVGs into high resolution PNGs in 2 clicks,The MIT License,0,0,61,0,2024-10-06
APIParkLab/APIPark,https://github.com/APIParkLab/APIPark,940,"🦄APIPark is the #1 open-source AI Gateway and Developer Portal, enabling you to easily manage, integrate, and deploy AI and API services. APIPark seamlessly connects with various large AI models and packages these AI capabilities into APIs for easy invocation. ",Apache License 2.0,0,0,57,0,2024-08-12
dzhng/deep-research,https://github.com/dzhng/deep-research,12607,"An AI-powered research assistant that performs iterative, deep research on any topic by combining search engines, web scraping, and large language models.  The goal of this repo is to provide the simplest implementation of a deep research agent - e.g. an agent that can refine its research direction overtime and deep dive into a topic.",The MIT License,0,0,55,0,2025-02-04
callstackincubator/fabrice-ai,https://github.com/callstackincubator/fabrice-ai,263,"A lightweight, functional, and composable framework for building AI agents. No PhD required.",The MIT License,0,0,54,0,2024-12-06
LiRenTech/project-graph,https://github.com/LiRenTech/project-graph,1212,"🔥 Draw fast, think efficiently. | A simple tool for drawing graphs.",The MIT License,0,0,51,0,2024-08-23
Nutlope/llamacoder,https://github.com/Nutlope/llamacoder,5504,Open source Claude Artifacts – built with Llama 3.1 405B,The MIT License,0,0,48,0,2024-07-25
supabase-community/database-build,https://github.com/supabase-community/database-build,2677,In-browser Postgres sandbox with AI assistance (formerly postgres.new),Apache License 2.0,0,0,45,0,2024-07-22
sendaifun/solana-agent-kit,https://github.com/sendaifun/solana-agent-kit,989,connect any ai agents to solana protocols,Apache License 2.0,0,0,42,0,2024-11-17
langchain-ai/open-canvas,https://github.com/langchain-ai/open-canvas,3916,"📃 A better UX for chat, writing content, and coding with LLMs.",The MIT License,0,0,36,0,2024-10-03
glowingjade/obsidian-smart-composer,https://github.com/glowingjade/obsidian-smart-composer,1050,"AI chat assistant for Obsidian with contextual awareness, smart writing assistance, and one-click edits. Features vault-aware conversations, semantic search, and local model support.",The MIT License,0,0,36,0,2024-10-11
zuplo/zudoku,https://github.com/zuplo/zudoku,139,"Framework for building high quality, interactive API documentation.",The MIT License,0,0,36,0,2024-08-16
hunghg255/reactjs-tiptap-editor,https://github.com/hunghg255/reactjs-tiptap-editor,317,A modern WYSIWYG rich text editor based on tiptap and shadcn ui for Reactjs,The MIT License,0,0,35,0,2024-08-09
sammwyy/MikuMikuBeam,https://github.com/sammwyy/MikuMikuBeam,3875,An open-source network stresser tool but it's Hatsune Miku,The MIT License,0,0,34,0,2025-01-20
